month_start,new_issues
2015-08-01T00:00:00+00:00,5
2015-09-01T00:00:00+00:00,41
2015-10-01T00:00:00+00:00,22
2015-11-01T00:00:00+00:00,25
2015-12-01T00:00:00+00:00,9
2016-01-01T00:00:00+00:00,8
2016-02-01T00:00:00+00:00,12
2016-03-01T00:00:00+00:00,12
2016-04-01T00:00:00+00:00,22
2016-05-01T00:00:00+00:00,23
2016-06-01T00:00:00+00:00,19
2016-07-01T00:00:00+00:00,17
2016-08-01T00:00:00+00:00,11
2016-09-01T00:00:00+00:00,19
2016-10-01T00:00:00+00:00,17
2016-11-01T00:00:00+00:00,17
2016-12-01T00:00:00+00:00,12
2017-01-01T00:00:00+00:00,10
2017-02-01T00:00:00+00:00,13
2017-03-01T00:00:00+00:00,19
2017-04-01T00:00:00+00:00,13
2017-05-01T00:00:00+00:00,10
2017-06-01T00:00:00+00:00,13
2017-07-01T00:00:00+00:00,28
2017-08-01T00:00:00+00:00,15
2017-09-01T00:00:00+00:00,14
2017-10-01T00:00:00+00:00,7
2017-11-01T00:00:00+00:00,11
2017-12-01T00:00:00+00:00,12
2018-01-01T00:00:00+00:00,18
2018-02-01T00:00:00+00:00,14
2018-03-01T00:00:00+00:00,12
2018-04-01T00:00:00+00:00,18
2018-05-01T00:00:00+00:00,16
2018-06-01T00:00:00+00:00,7
2018-07-01T00:00:00+00:00,15
2018-08-01T00:00:00+00:00,8
2018-09-01T00:00:00+00:00,14
2018-10-01T00:00:00+00:00,11
2018-11-01T00:00:00+00:00,10
2018-12-01T00:00:00+00:00,9
2019-01-01T00:00:00+00:00,12
2019-02-01T00:00:00+00:00,6
2019-03-01T00:00:00+00:00,18
2019-04-01T00:00:00+00:00,18
2019-05-01T00:00:00+00:00,11
2019-06-01T00:00:00+00:00,4
2019-07-01T00:00:00+00:00,13
2019-08-01T00:00:00+00:00,8
2019-09-01T00:00:00+00:00,9
2019-10-01T00:00:00+00:00,14
2019-11-01T00:00:00+00:00,21
2019-12-01T00:00:00+00:00,13
2020-01-01T00:00:00+00:00,10
2020-02-01T00:00:00+00:00,7
2020-03-01T00:00:00+00:00,17
2020-04-01T00:00:00+00:00,14
2020-05-01T00:00:00+00:00,21
2020-06-01T00:00:00+00:00,17
2020-07-01T00:00:00+00:00,18
2020-08-01T00:00:00+00:00,14
2020-09-01T00:00:00+00:00,17
2020-10-01T00:00:00+00:00,17
2020-11-01T00:00:00+00:00,9
2020-12-01T00:00:00+00:00,4
2021-01-01T00:00:00+00:00,5
2021-02-01T00:00:00+00:00,8
2021-03-01T00:00:00+00:00,17
2021-04-01T00:00:00+00:00,10
2021-05-01T00:00:00+00:00,14
2021-06-01T00:00:00+00:00,23
2021-07-01T00:00:00+00:00,16
2021-08-01T00:00:00+00:00,14
2021-09-01T00:00:00+00:00,14
2021-10-01T00:00:00+00:00,9
2021-11-01T00:00:00+00:00,11
2021-12-01T00:00:00+00:00,6
2022-01-01T00:00:00+00:00,7
2022-02-01T00:00:00+00:00,18
2022-03-01T00:00:00+00:00,9
2022-04-01T00:00:00+00:00,8
2022-05-01T00:00:00+00:00,19
2022-06-01T00:00:00+00:00,9
2022-07-01T00:00:00+00:00,10
2022-08-01T00:00:00+00:00,7
2022-09-01T00:00:00+00:00,13
2022-10-01T00:00:00+00:00,16
2022-11-01T00:00:00+00:00,7
2022-12-01T00:00:00+00:00,7
2023-01-01T00:00:00+00:00,11
2023-02-01T00:00:00+00:00,15
2023-03-01T00:00:00+00:00,16
2023-04-01T00:00:00+00:00,12
2023-05-01T00:00:00+00:00,9
2023-06-01T00:00:00+00:00,9
2023-07-01T00:00:00+00:00,13
2023-08-01T00:00:00+00:00,18
2023-09-01T00:00:00+00:00,27
2023-10-01T00:00:00+00:00,23
2023-11-01T00:00:00+00:00,20
2023-12-01T00:00:00+00:00,13
2024-01-01T00:00:00+00:00,12
2024-02-01T00:00:00+00:00,46
2024-03-01T00:00:00+00:00,20
2024-04-01T00:00:00+00:00,22
2024-05-01T00:00:00+00:00,28
2024-06-01T00:00:00+00:00,22
2024-07-01T00:00:00+00:00,19
2024-08-01T00:00:00+00:00,30
2024-09-01T00:00:00+00:00,26
2024-10-01T00:00:00+00:00,23
2024-11-01T00:00:00+00:00,19
2024-12-01T00:00:00+00:00,13
2025-01-01T00:00:00+00:00,13
2025-02-01T00:00:00+00:00,14
2025-03-01T00:00:00+00:00,15
2025-04-01T00:00:00+00:00,13
2025-05-01T00:00:00+00:00,12
2025-06-01T00:00:00+00:00,12
2025-07-01T00:00:00+00:00,19
2025-08-01T00:00:00+00:00,12
2025-09-01T00:00:00+00:00,13
2025-10-01T00:00:00+00:00,4
